merchant_id,merchant_name,normalized_name,merchant_status,merchant_source,keyword_id,keyword,normalized_keyword,keyword_source,keyword_created_at,keyword_updated_at
35,KFC,KFC,active,sample_verified,57,KFC,KFC,sample_verified_standard_name,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
174,Kayo Sports,KAYO SPORTS,active,manual_review,386,KAYO SPORTS,KAYO SPORTS,manual_review,2026-07-06T02:22:08+00:00,2026-07-06T02:22:08+00:00
174,Kayo Sports,KAYO SPORTS,active,manual_review,391,Kayo,KAYO,manual_review,2026-07-06T02:25:36+00:00,2026-07-06T02:25:36+00:00
452,Kennards Hire,KENNARDS HIRE,active,manual_review,752,Kennards Hire,KENNARDS HIRE,manual_review,2026-07-06T08:57:07+00:00,2026-07-06T08:57:07+00:00
273,KenoGo,KENOGO,active,manual_review,530,KenoGO,KENOGO,manual_review,2026-07-06T06:04:06+00:00,2026-07-06T06:04:06+00:00
309,King,KING,active,manual_review,575,Google*King,GOOGLE KING,manual_review,2026-07-06T06:42:23+00:00,2026-07-06T06:42:23+00:00
309,King,KING,active,manual_review,737,King SW,KING SW,verified_csv:illion_txn_shard_0000_remove_category_text_exact_dedup_part006_merchant_verified(1).csv,2026-07-06T07:23:32+00:00,2026-07-06T07:23:32+00:00
337,Klarna,KLARNA,active,manual_review,609,Klarna,KLARNA,manual_review,2026-07-06T06:58:18+00:00,2026-07-06T06:58:18+00:00
36,Kmart,KMART,active,sample_verified,58,Kmart,KMART,sample_verified_standard_name,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
36,Kmart,KMART,active,sample_verified,130,Kmart 1097,KMART 1097,manual_review,2026-07-03T07:55:07+00:00,2026-07-03T07:55:07+00:00
76,Kogan.com,KOGAN COM,active,manual_review,124,Kogan.com,KOGAN COM,manual_review,2026-07-03T07:50:31+00:00,2026-07-03T07:50:31+00:00
76,Kogan.com,KOGAN COM,active,manual_review,367,kogan,KOGAN,manual_review,2026-07-06T02:01:49+00:00,2026-07-06T02:01:49+00:00
439,Krispy Kreme,KRISPY KREME,active,manual_review,733,Krispy Kreme,KRISPY KREME,manual_review,2026-07-06T07:17:06+00:00,2026-07-06T07:17:06+00:00
156,Ladbrokes,LADBROKES,active,manual_review,739,Ladbrokes,LADBROKES,verified_csv:illion_txn_shard_0000_remove_category_text_exact_dedup_part006_merchant_verified(1).csv,2026-07-06T07:23:32+00:00,2026-07-06T07:23:32+00:00
156,Ladbrokes,LADBROKES,active,manual_review,363,ladbrokes.com.au,LADBROKES COM AU,manual_review,2026-07-06T01:52:15+00:00,2026-07-06T01:52:15+00:00
277,Latitude,LATITUDE,active,manual_review,535,Latitude,LATITUDE,manual_review,2026-07-06T06:16:35+00:00,2026-07-06T06:16:35+00:00
234,LazerMoney,LAZERMONEY,active,manual_review,482,LazerMoney,LAZERMONEY,manual_review,2026-07-06T03:57:55+00:00,2026-07-06T03:57:55+00:00
419,Lendlease,LENDLEASE,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,708,Lendlease,LENDLEASE,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
391,Lindsay Transport,LINDSAY TRANSPORT,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,676,Lindsay Transport,LINDSAY TRANSPORT,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
253,Linkt,LINKT,active,manual_review,503,LINKT,LINKT,manual_review,2026-07-06T05:41:27+00:00,2026-07-06T05:41:27+00:00
253,Linkt,LINKT,active,manual_review,560,TRANSURBAN,TRANSURBAN,manual_review,2026-07-06T06:33:17+00:00,2026-07-06T06:33:17+00:00
37,Liquor Barons,LIQUOR BARONS,active,sample_verified,59,Liquor Barons,LIQUOR BARONS,sample_verified_standard_name,2026-07-03T03:13:27+00:00,2026-07-03T03:13:27+00:00
37,Liquor Barons,LIQUOR BARONS,active,sample_verified,119,Liquor Barons at Sunset,LIQUOR BARONS AT SUNSET,manual_review,2026-07-03T07:36:53+00:00,2026-07-03T07:36:53+00:00
241,Liquorland,LIQUORLAND,active,manual_review,489,LIQUORLAND,LIQUORLAND,manual_review,2026-07-06T05:33:40+00:00,2026-07-06T05:33:40+00:00
144,Lowes,LOWES,active,manual_review,210,LOWES,LOWES,manual_review,2026-07-03T09:52:05+00:00,2026-07-03T09:52:05+00:00
477,Luerssen Australia,LUERSSEN AUSTRALIA,active,verified_csv:third_party_dedup_fuzzy_dedup_verified_partial.csv,780,Luerssen Australia,LUERSSEN AUSTRALIA,verified_csv:third_party_dedup_fuzzy_dedup_verified_partial.csv:standardized,2026-07-06T09:17:44+00:00,2026-07-06T09:17:44+00:00
353,Lynas Rare Earths,LYNAS RARE EARTHS,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,630,Lynas,LYNAS,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
353,Lynas Rare Earths,LYNAS RARE EARTHS,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,629,Lynas Rare Earths,LYNAS RARE EARTHS,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
460,MILKRUN,MILKRUN,active,manual_review,760,MILKRUN,MILKRUN,manual_review,2026-07-06T09:00:47+00:00,2026-07-06T09:00:47+00:00
478,MONSON Agencies Pty Ltd,MONSON AGENCIES PTY LTD,active,verified_csv:third_party_dedup_fuzzy_dedup_verified_partial.csv,781,MONSON Agencies Pty Ltd,MONSON AGENCIES PTY LTD,verified_csv:third_party_dedup_fuzzy_dedup_verified_partial.csv:standardized,2026-07-06T09:17:44+00:00,2026-07-06T09:17:44+00:00
478,MONSON Agencies Pty Ltd,MONSON AGENCIES PTY LTD,active,verified_csv:third_party_dedup_fuzzy_dedup_verified_partial.csv,782,Monson Agencies,MONSON AGENCIES,verified_csv:third_party_dedup_fuzzy_dedup_verified_partial.csv,2026-07-06T09:17:44+00:00,2026-07-06T09:17:44+00:00
354,Maali Group,MAALI GROUP,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,631,Maali Group,MAALI GROUP,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
282,Macpac,MACPAC,active,manual_review,541,MACPAC,MACPAC,manual_review,2026-07-06T06:19:35+00:00,2026-07-06T06:19:35+00:00
369,Macquarie Bank,MACQUARIE BANK,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,651,Macquarie Bank,MACQUARIE BANK,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
242,Mad Mex,MAD MEX,active,manual_review,490,MAD MEX,MAD MEX,manual_review,2026-07-06T05:34:01+00:00,2026-07-06T05:34:01+00:00
407,Mad Paws,MAD PAWS,active,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv,694,Mad Paws,MAD PAWS,verified_csv:third_party_dedup_4_verified_keyword_standardized_link.csv:standardized,2026-07-06T07:10:41+00:00,2026-07-06T07:10:41+00:00
